iter	Passed	Remaining
0	166	166019
1	166	83324
2	167	55708
3	168	41908
4	169	33639
5	169	28107
6	170	24168
7	170	21203
8	171	18891
9	172	17040
10	172	15527
11	173	14270
12	173	13209
13	174	12294
14	175	11501
15	175	10807
16	176	10196
17	176	9651
18	177	9164
19	178	8725
20	178	8329
21	179	7969
22	179	7642
23	180	7342
24	181	7068
25	181	6810
26	182	6574
27	183	6353
28	183	6149
29	184	5961
30	185	5784
31	185	5620
32	186	5467
33	187	5318
34	187	5179
35	188	5047
36	189	4921
37	189	4802
38	190	4693
39	191	4588
40	191	4488
41	192	4391
42	193	4300
43	193	4210
44	194	4125
45	194	4043
46	195	3965
47	196	3896
48	197	3826
49	197	3760
50	198	3696
51	199	3633
52	199	3572
53	200	3514
54	201	3458
55	201	3403
56	202	3352
57	203	3302
58	203	3252
59	204	3204
60	205	3157
61	205	3112
62	206	3068
63	206	3025
64	207	2983
65	208	2944
66	208	2906
67	209	2871
68	210	2835
69	210	2801
70	211	2767
71	212	2734
72	212	2701
73	213	2670
74	214	2642
75	215	2614
76	215	2586
77	216	2558
78	217	2531
79	217	2504
80	218	2478
81	219	2452
82	219	2423
83	219	2398
84	220	2373
85	221	2350
86	221	2327
87	222	2305
88	223	2282
89	223	2261
90	224	2239
91	224	2218
92	225	2198
93	225	2177
94	226	2157
95	227	2139
96	227	2121
97	228	2102
98	229	2084
99	229	2067
100	230	2049
101	230	2032
102	231	2015
103	231	1998
104	232	1982
105	233	1966
106	233	1952
107	234	1937
108	235	1922
109	235	1908
110	236	1893
111	237	1879
112	237	1864
113	238	1850
114	238	1837
115	239	1823
116	239	1809
117	240	1797
118	241	1784
119	241	1771
120	242	1759
121	242	1746
122	243	1733
123	243	1721
124	244	1710
125	244	1698
126	245	1686
127	245	1675
128	246	1665
129	247	1654
130	247	1643
131	248	1633
132	248	1622
133	249	1612
134	250	1602
135	250	1592
136	251	1582
137	251	1573
138	252	1564
139	253	1555
140	253	1546
141	254	1536
142	254	1527
143	255	1518
144	256	1509
145	256	1501
146	257	1493
147	257	1485
148	258	1477
149	259	1470
150	260	1462
151	260	1454
152	261	1447
153	262	1439
154	262	1431
155	263	1423
156	263	1416
157	264	1408
158	265	1402
159	265	1394
160	266	1386
161	266	1379
162	267	1372
163	267	1365
164	268	1358
165	268	1351
166	269	1344
167	270	1337
168	270	1331
169	271	1325
170	272	1319
171	272	1312
172	273	1306
173	273	1300
174	274	1294
175	275	1287
176	275	1281
177	276	1275
178	276	1269
179	277	1264
180	278	1258
181	278	1252
182	279	1246
183	279	1240
184	280	1235
185	280	1229
186	281	1224
187	282	1218
188	282	1213
189	283	1208
190	284	1203
191	284	1198
192	285	1192
193	285	1187
194	286	1182
195	287	1177
196	287	1172
197	288	1167
198	288	1162
199	289	1158
200	290	1153
201	291	1149
202	291	1145
203	292	1140
204	292	1136
205	293	1131
206	294	1127
207	295	1124
208	295	1120
209	296	1115
210	297	1111
211	297	1107
212	298	1102
213	299	1098
214	299	1094
215	300	1089
216	300	1085
217	301	1080
218	301	1076
219	302	1072
220	303	1068
221	303	1064
222	304	1060
223	304	1056
224	305	1052
225	306	1048
226	306	1044
227	307	1040
228	307	1036
229	308	1032
230	309	1028
231	309	1024
232	310	1021
233	310	1017
234	311	1013
235	311	1009
236	312	1006
237	313	1002
238	313	998
239	314	995
240	314	991
241	315	988
242	316	984
243	316	981
244	317	977
245	317	974
246	318	970
247	318	967
248	319	963
249	320	960
250	320	957
251	321	954
252	322	951
253	322	947
254	323	944
255	323	941
256	324	938
257	325	935
258	325	931
259	326	928
260	327	925
261	327	922
262	328	919
263	328	916
264	329	914
265	330	911
266	330	908
267	331	905
268	332	902
269	332	899
270	333	896
271	334	894
272	334	891
273	335	888
274	335	885
275	336	882
276	337	879
277	337	876
278	338	873
279	338	871
280	339	868
281	340	866
282	340	863
283	341	860
284	342	858
285	342	855
286	343	852
287	343	850
288	344	848
289	345	845
290	346	843
291	347	841
292	347	839
293	348	836
294	348	833
295	349	831
296	350	828
297	350	826
298	351	823
299	352	821
300	352	819
301	353	816
302	353	814
303	354	811
304	355	809
305	355	806
306	356	804
307	356	801
308	357	799
309	358	797
310	358	794
311	359	792
312	360	790
313	360	787
314	361	785
315	361	783
316	362	780
317	362	778
318	363	776
319	364	774
320	365	772
321	365	769
322	366	767
323	366	765
324	367	763
325	368	761
326	368	758
327	369	756
328	369	754
329	370	752
330	371	750
331	371	748
332	372	746
333	373	744
334	373	741
335	374	739
336	374	737
337	375	735
338	375	733
339	376	731
340	377	729
341	378	727
342	378	725
343	379	723
344	379	721
345	380	719
346	381	717
347	381	715
348	382	712
349	382	710
350	383	708
351	384	707
352	384	705
353	385	703
354	386	701
355	386	699
356	387	697
357	388	695
358	388	693
359	389	692
360	390	690
361	390	688
362	391	686
363	391	684
364	392	682
365	393	680
366	393	679
367	394	677
368	394	675
369	395	673
370	396	671
371	396	669
372	397	667
373	397	665
374	398	664
375	398	662
376	399	660
377	400	658
378	400	656
379	401	654
380	401	653
381	402	651
382	403	649
383	403	647
384	404	646
385	405	644
386	405	642
387	406	640
388	406	638
389	407	637
390	408	635
391	408	633
392	409	632
393	409	630
394	410	628
395	410	626
396	411	625
397	412	623
398	412	621
399	413	619
400	413	618
401	414	616
402	415	615
403	415	613
404	416	611
405	417	610
406	417	608
407	418	606
408	418	605
409	419	603
410	420	602
411	421	601
412	421	599
413	422	597
414	422	596
415	423	594
416	424	593
417	424	591
418	425	589
419	425	588
420	426	586
421	427	585
422	428	583
423	428	582
424	429	580
425	429	579
426	430	577
427	431	576
428	431	574
429	432	573
430	433	572
431	434	570
432	434	569
433	435	567
434	436	566
435	436	564
436	437	563
437	437	561
438	438	560
439	439	559
440	439	557
441	440	556
442	441	554
443	441	553
444	442	551
445	443	550
446	443	548
447	444	547
448	444	545
449	445	544
450	446	543
451	447	542
452	447	540
453	448	539
454	449	537
455	449	536
456	450	534
457	450	533
458	451	532
459	452	531
460	452	529
461	453	528
462	454	526
463	454	525
464	455	524
465	456	522
466	456	521
467	457	520
468	458	519
469	459	517
470	459	516
471	460	515
472	461	513
473	461	512
474	462	511
475	462	509
476	463	508
477	464	507
478	464	505
479	465	504
480	466	503
481	467	501
482	467	500
483	468	499
484	469	498
485	469	496
486	470	495
487	471	494
488	471	493
489	472	491
490	473	490
491	473	489
492	474	487
493	475	486
494	475	485
495	476	484
496	477	483
497	477	481
498	478	480
499	479	479
500	479	477
501	480	476
502	480	475
503	481	473
504	482	472
505	482	471
506	483	470
507	484	468
508	485	467
509	485	466
510	486	465
511	486	464
512	487	462
513	488	461
514	488	460
515	489	458
516	489	457
517	490	456
518	491	455
519	491	453
520	492	452
521	492	451
522	493	450
523	494	448
524	494	447
525	495	446
526	495	445
527	496	444
528	497	442
529	498	441
530	498	440
531	499	439
532	499	438
533	500	436
534	501	435
535	501	434
536	502	433
537	503	432
538	503	430
539	504	429
540	505	428
541	506	427
542	506	426
543	507	425
544	508	424
545	509	423
546	509	422
547	510	421
548	511	419
549	511	418
550	512	417
551	513	416
552	514	415
553	514	414
554	515	413
555	516	412
556	516	411
557	517	410
558	518	408
559	518	407
560	519	406
561	519	405
562	520	404
563	521	402
564	521	401
565	522	400
566	523	399
567	523	398
568	524	397
569	525	396
570	525	395
571	526	394
572	527	392
573	527	391
574	528	390
575	529	389
576	530	388
577	530	387
578	531	386
579	531	385
580	532	384
581	533	383
582	534	381
583	534	380
584	535	379
585	536	378
586	536	377
587	537	376
588	537	375
589	538	374
590	538	372
591	539	371
592	540	370
593	541	369
594	541	368
595	542	367
596	542	366
597	543	365
598	544	364
599	544	363
600	545	362
601	546	360
602	546	359
603	547	358
604	548	357
605	548	356
606	549	355
607	550	354
608	550	353
609	551	352
610	551	351
611	552	350
612	553	349
613	553	348
614	554	347
615	555	346
616	555	344
617	556	343
618	556	342
619	557	341
620	558	340
621	558	339
622	559	338
623	560	337
624	560	336
625	561	335
626	561	334
627	562	333
628	563	332
629	563	331
630	564	330
631	564	328
632	565	327
633	566	326
634	566	325
635	567	324
636	568	323
637	568	322
638	569	321
639	570	320
640	570	319
641	571	318
642	572	317
643	572	316
644	573	315
645	574	314
646	574	313
647	575	312
648	575	311
649	576	310
650	577	309
651	577	308
652	578	307
653	579	306
654	579	305
655	580	304
656	580	303
657	581	302
658	581	301
659	582	300
660	583	299
661	583	298
662	584	297
663	585	296
664	585	295
665	586	294
666	586	293
667	587	291
668	588	290
669	588	289
670	589	288
671	590	287
672	590	286
673	591	285
674	591	284
675	592	283
676	593	282
677	593	281
678	594	280
679	594	279
680	595	278
681	596	277
682	596	276
683	597	275
684	597	274
685	598	273
686	599	272
687	599	271
688	600	270
689	600	269
690	601	269
691	602	268
692	602	267
693	603	266
694	604	265
695	605	264
696	605	263
697	606	262
698	606	261
699	607	260
700	608	259
701	608	258
702	609	257
703	610	256
704	610	255
705	611	254
706	611	253
707	612	252
708	613	251
709	613	250
710	614	249
711	615	248
712	615	247
713	616	246
714	616	245
715	617	244
716	618	243
717	618	242
718	619	242
719	619	241
720	620	240
721	621	239
722	621	238
723	622	237
724	623	236
725	623	235
726	624	234
727	625	233
728	625	232
729	626	231
730	627	230
731	628	229
732	628	229
733	629	228
734	630	227
735	630	226
736	631	225
737	631	224
738	632	223
739	633	222
740	634	221
741	634	220
742	635	219
743	636	218
744	636	217
745	637	216
746	637	216
747	638	215
748	639	214
749	639	213
750	640	212
751	641	211
752	641	210
753	642	209
754	642	208
755	643	207
756	644	206
757	644	205
758	645	204
759	646	204
760	647	203
761	647	202
762	648	201
763	649	200
764	649	199
765	650	198
766	650	197
767	651	196
768	652	195
769	652	194
770	653	194
771	654	193
772	654	192
773	655	191
774	655	190
775	656	189
776	656	188
777	657	187
778	658	186
779	658	185
780	659	184
781	660	184
782	660	183
783	661	182
784	662	181
785	662	180
786	663	179
787	664	178
788	664	177
789	665	176
790	665	175
791	666	175
792	667	174
793	667	173
794	668	172
795	668	171
796	669	170
797	669	169
798	670	168
799	671	167
800	671	166
801	672	165
802	672	165
803	673	164
804	674	163
805	674	162
806	675	161
807	675	160
808	676	159
809	677	158
810	677	157
811	678	157
812	678	156
813	679	155
814	680	154
815	680	153
816	681	152
817	681	151
818	682	150
819	683	149
820	683	149
821	684	148
822	685	147
823	685	146
824	686	145
825	686	144
826	687	143
827	687	142
828	688	141
829	689	141
830	689	140
831	690	139
832	690	138
833	691	137
834	692	136
835	692	135
836	693	135
837	693	134
838	694	133
839	694	132
840	695	131
841	696	130
842	697	129
843	697	128
844	698	128
845	698	127
846	699	126
847	700	125
848	700	124
849	701	123
850	702	122
851	702	122
852	703	121
853	703	120
854	704	119
855	704	118
856	705	117
857	706	116
858	706	115
859	707	115
860	707	114
